COURSE CODE,TITLE,LOCAL CREDIT,ECTS CREDIT,REMAINING / TOTAL QUOTA,CAMPUS,CLASSROOM(S),INSTRUCTOR NAME,INSTRUCTOR SURNAME,ASSISTANT,TIME SLOT,FACULTY NAME,COURSE HOUR(S),LIVE SECTION	
AHÄ°Z1121.1,Temel Cerrahi (3),3,6,8 / 45,Maslak,"A404, A404, A404",STAFF,,STAFF,,Vocational School,3,NO	
AHÄ°Z1121.2,Temel Cerrahi (3),3,6,3 / 25,Maslak,"B151, B151, B151",DÄ°LARA,BAKIN,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z1122.1,Ameliyathane UygulamalarÄ± I (3),3,6,8 / 45,Maslak,"A413 B251, A413 B251, A413 B251",DÄ°LARA,BAKIN,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,4,NO	
AHÄ°Z1122.2,Ameliyathane UygulamalarÄ± I (3),3,6,4 / 25,Maslak,"A413 A320, A413 A320, A413 A320",DÄ°LARA,BAKIN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,4,NO	
AHÄ°Z1123.1,Fizyoloji (3),3,6,3 / 45,Maslak,"A320, A320, A320",ALÄ° Ä°LKAY,UZUN,STAFF,,Vocational School,3,NO	
AHÄ°Z1123.2,Fizyoloji (3),3,6,10 / 85,Maslak,"B108, B108, B108",ALÄ° Ä°LKAY,UZUN,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Ã‡arÅŸamba 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z1123.3,Fizyoloji (3),3,6,14 / 75,Maslak,"B108, B108, B108",EMÄ°NE HANDE,KARAGEDÄ°K,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20",Vocational School,3,NO	
AHÄ°Z1123.4,Fizyoloji (3),3,6,3 / 65,Maslak,"B151, B151, B151",EMÄ°NE HANDE,KARAGEDÄ°K,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20",Vocational School,3,NO	
AHÄ°Z1123.5,Fizyoloji (3),3,6,20 / 35,Maslak,"B251, B251, B251",EMÄ°NE HANDE,KARAGEDÄ°K,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z1123.6,Fizyoloji (3),3,6,18 / 45,Maslak,"A320, A320, A320",ALÄ° Ä°LKAY,UZUN,STAFF,,Vocational School,3,NO	
AHÄ°Z1123.7,Fizyoloji (3),3,6,6 / 30,Maslak,"A320, A320, A320",ALÄ° Ä°LKAY,UZUN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z1124.1,Enfeksiyondan Korunma YÃ¶ntemleri (3),3,3,7 / 45,Maslak,"A317, A317, A317",HÃœLYA,ERGÃœNEY,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO	
AHÄ°Z1124.2,Enfeksiyondan Korunma YÃ¶ntemleri (3),3,3,2 / 30,Maslak,"A317, A317, A317",HÃœLYA,ERGÃœNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z1125.1,Ä°lk YardÄ±m (3),3,3,-2 / 0,Maslak,"A417, A417, A417",STAFF,,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 09:30 - 10:20, Pazartesi 11:30 - 12:20",Vocational School,3,NO	
AHÄ°Z1125.2,Ä°lk YardÄ±m (3),3,3,0 / 20,Maslak,"A417, A417, A417",Ã–ZGE,GÃ–L,STAFF,"SalÄ± 12:30 - 13:20, SalÄ± 13:30 - 14:20, SalÄ± 14:30 - 15:20",Vocational School,3,NO	
AHÄ°Z1125.3,Ä°lk YardÄ±m (3),3,3,17 / 30,Maslak,"A417, A417, A417",Ã–ZGE,GÃ–L,STAFF,,Vocational School,3,NO	
AHÄ°Z1222.1,Knowledge of Surgical Diseases I (3),3,6,12 / 15,Maslak,"B451, B451, B451",GÃœNEÅž,Ã‡EVÄ°K,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2231.1,Operating Room Applications II (3),3,4,16 / 36,Maslak,"A413, A413, A413",DÄ°LARA,BAKIN,STAFF,,Vocational School,3,NO	
AHÄ°Z2233.1,First Aid (3),3,5,22 / 30,Maslak,"A417, A417, A417",HÃœLYA,ERGÃœNEY,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z2233.2,First Aid (3),3,5,10 / 20,Maslak,"A417, A417, A417",HÃœLYA,ERGÃœNEY,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2233.3,First Aid (3),3,5,9 / 25,Maslak,"A417, A417, A417",HÃœLYA,ERGÃœNEY,STAFF,"Cuma 15:30 - 16:20, Cuma 16:30 - 17:20, Cuma 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z2233.4,First Aid (3),3,5,16 / 25,Maslak,"A417, A417, A417",HÃœLYA,ERGÃœNEY,STAFF,"Cuma 08:30 - 09:20, Cuma 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2233.5,First Aid (3),3,5,24 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO	
AHÄ°Z2233.6,First Aid (3),3,5,5 / 25,Maslak,"A417, A417, A417",IÅžIL,ARSLAN,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Ã‡arÅŸamba 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z2233.7,First Aid (3),3,5,14 / 25,Maslak,"A417, A417, A417",STAFF,,STAFF,,Vocational School,3,NO	
AHÄ°Z2233.8,First Aid (3),3,5,0 / 25,Maslak,"A417, A417, A417",IÅžIL,ARSLAN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2241.1,Operating Room Applications III (3),3,4,3 / 25,Maslak,"-, -, -, -, -",AHMET KAMÄ°L,TEKEREK,STAFF,"Cuma 11:30 - 12:20, Cuma 12:30 - 13:20, Cuma 13:30 - 14:20, Cuma 14:30 - 15:20, Cuma 15:30 - 16:20",Vocational School,3,NO	
AHÄ°Z2242.1,Operating Room  Equipments (3),3,3,18 / 40,Maslak,"B251, B251, B251",DÄ°LARA,BAKIN,STAFF,,Vocational School,3,NO	
AHÄ°Z2242.2,Operating Room  Equipments (3),3,3,2 / 25,Maslak,"A203, A203, A203",DÄ°LARA,BAKIN,STAFF,,Vocational School,3,NO	
AHÄ°Z2243.1,Knowledge of Diseases (3),3,5,15 / 40,Maslak,"B162, B162, B162",DENÄ°Z,ACUNER,STAFF,"Pazartesi 15:30 - 16:20, Pazartesi 16:30 - 17:20, Pazartesi 17:30 - 18:20",Vocational School,3,NO	
AHÄ°Z2243.2,Knowledge of Diseases (3),3,5,10 / 25,Maslak,"B251, B251, B251",DENÄ°Z,ACUNER,STAFF,"Pazartesi 08:30 - 09:20, Pazartesi 08:30 - 09:20",Vocational School,3,NO	
AHÄ°Z2909.1,Industrial Training,0,1,93 / 100,Maslak,,DÄ°LARA,BAKIN,STAFF,,Vocational School,0,NO	
ANZÄ°1121.1,Sistemik HastalÄ±klar Bilgisi (3),3,6,0 / 73,Maslak,"B151, B151, B151",DENÄ°Z,ACUNER,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°1122.1,Genel Farmakoloji (3),3,3,24 / 85,Maslak,"B108, B108, B108",AYHAN,ÃœÄžÃœDEN,STAFF,,Vocational School,3,NO	
ANZÄ°1122.2,Genel Farmakoloji (3),3,3,6 / 70,Maslak,"B251, B251, B251",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 15:30 - 16:20, Ã‡arÅŸamba 16:30 - 17:20, Ã‡arÅŸamba 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°1122.3,Genel Farmakoloji (3),3,3,20 / 45,Maslak,"A317, A317, A317",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
ANZÄ°1123.1,Ä°laÃ§ HazÄ±rlama,0,3,5 / 70,Maslak,"B251, B251, B251",Ã–ZGE,GÃ–L,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20",Vocational School,6,NO	
ANZÄ°1212.1,General Pharmacology (3),3,5,66 / 80,Maslak,"B108, B108, B108",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 12:30 - 13:20, Ã‡arÅŸamba 13:30 - 14:20, Ã‡arÅŸamba 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°1212.2,General Pharmacology (3),3,5,38 / 45,Maslak,"A317, A317, A317",AYHAN,ÃœÄžÃœDEN,STAFF,"Ã‡arÅŸamba 08:30 - 09:20, Ã‡arÅŸamba 08:30 - 09:20",Vocational School,3,NO	
ANZÄ°1222.1,Fundamantels of Anesthesia  II (3),3,6,6 / 70,Maslak,"B251, B251, B251",ALÄ°,YÃœCEL,STAFF,"Pazartesi 12:30 - 13:20, Pazartesi 13:30 - 14:20, Pazartesi 14:30 - 15:20",Vocational School,3,NO	
ANZÄ°2233.1,Anesthesia Applications I (3),3,4,5 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"SalÄ± 15:30 - 16:20, SalÄ± 16:30 - 17:20, SalÄ± 17:30 - 18:20",Vocational School,3,NO	
ANZÄ°2233.2,Anesthesia Applications I (3),3,4,15 / 25,Maslak,"A413 A415, A413 A415, A413 A415",MEHTAP,ATASEVEN BULUN,STAFF,"SalÄ± 08:30 - 09:20, SalÄ± 09:30 - 10:20, SalÄ± 11:30 - 12:20",Vocational School,3,NO	
